Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
Shape of You,Shape of You,Ed Sheeran,2017-06-01 00:00:00,54,195.1,3909458734,316378,148037882,80.0,0
Mitu,Mitu - Single,Maian,Unknown,55,194.3,55346,42,16861,13.0,0
Blinding Lights,Blinding Lights,The Weeknd,Unknown,56,194.0,4281468720,590392,165544011,83.0,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-02-12 00:00:00,57,192.3,1337619917,228295,64806723,80.0,1
Dona Felicidade,Dona Felicidade,Patati Patat ,2024-04-06 00:00:00,58,190.0,0,2,41206,0.0,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,Unknown,59,190.0,1655575417,1,3,0.0,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,Unknown,60,189.1,1556275789,210583,95974138,74.0,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-05-06 00:00:00,61,187.9,0,2,135,9.0,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,Unknown,62,186.5,1384,2,801,0.0,0
Supernova,Supernova,aespa,Unknown,63,186.1,69729033,2483,21046278,81.0,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-06-05 00:00:00,64,184.8,1811990630,173358,67603671,79.0,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,Unknown,65,181.4,199929812,4,98,0.0,1
Calm Down,Calm Down,Rema,2022-10-02 00:00:00,66,180.1,584427088,182994,19203258,68.0,0
CARNIVAL,CARNIVAL,  $,2024-08-02 00:00:00,67,179.6,466887055,53842,103935623,84.0,1
Kill Bill,SOS,SZA,2022-08-12 00:00:00,68,177.7,1873746537,190202,99546318,82.0,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,Unknown,69,177.6,891720245,114560,97542546,82.0,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03 00:00:00,70,176.2,46567,252,21930,6.0,0
Heat Waves,Heat Waves,Glass Animals,Unknown,71,175.0,2996181078,486278,112416489,82.0,0
In the End,Papercuts,Linkin Park,2024-12-04 00:00:00,72,174.8,2045512421,97,488602,0.0,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-11-01 00:00:00,73,174.3,946941510,100130,74836321,74.0,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-10-03 00:00:00,74,173.6,7909,38,15023,4.0,0
Old Town Road,Old Town Road,Lil Nas X,Unknown,75,170.3,1010494713,127393,18652312,67.0,0
un x100to,un x100to,Grupo Frontera,Unknown,76,170.2,1008495696,99381,57394938,75.0,0
Laxed     Sire,Laxed (Siren Beat),Jawsh 685,Unknown,77,168.9,0,10230,1142937,0.0,0
Sprinter,Sprinter - Single,Dave,2023-01-06 00:00:00,78,168.1,692512930,199828,55464762,78.0,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,Unknown,79,167.8,169410711,11028,144854768,90.0,0
TQG,TQG,KAROL G,Unknown,80,167.8,1024381758,78554,69319589,78.0,1
Perfect,   (Deluxe),Ed Sheeran,2017-03-03 00:00:00,81,167.5,2969999682,280165,116921604,81.0,0
Pepas,Pepas,Farruko,Unknown,82,167.3,1500499584,359502,125112486,74.0,1
Peekaboo,Glide - Single,Dave Angel,Unknown,83,167.2,8082,63,32758,0.0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,Unknown,84,166.5,1215336974,129463,39814172,74.0,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,Unknown,85,166.2,860026452,74769,139913794,80.0,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,Unknown,86,164.9,1032225805,94887,74469479,79.0,1
